[dataset]
  dataset = fsq
  csv = data/tky_clean.csv
  cat_col = category
  categories = ['Dining and Drinking', 'Retail', 'Nightlife Spot', 'Community and Government', 'Travel and Transportation', 'Business and Professional Services', 'Landmarks and Outdoors', 'Arts and Entertainment', 'Health and Medicine', 'Sports and Recreation']
  half_width = 50.0
  cell = 15
  center_step = 100
  min_poi = 10
  crs = EPSG:6677

[hparams]
  LATENT_DIM = 2
  EPOCHS = 1000
  BATCH = 256
  LR = 0.001
  WEIGHT_DECAY = 1e-06
  VAL_FRAC = 0.1
  SEED = 0
  ALPHA_INIT = 0.2
  ALPHA_LEARN = False
  GAT_LR_MULT = 0.2
  GAT_DIM = 16
  GAT_HEADS = 4
  GAT_LAYERS = 2
  GAT_READOUT_DIM = 1
  N_NEIGHBORS = 15
  GRAPH_METRIC = euclidean
  EDGE_BATCH = 256
  LAMBDA_FSCE = 0.01
  WARMUP_EPOCHS = 200
  NOISE_P = 0.3
  NOISE_MODE = thinning
  NOISE_OD_P = 0.3

1233 個 patch，device=mps，噪聲 thinning p=0.3
OD：100.0% 的 patch 有觀測，總量中位數 44，最大 10449
FSCE graph：24900 條邊，a=1.5769 b=0.8951
參數量 38173（GAT 分支 11537，lr x0.2）
epoch  610 | train_nll -1.32994 | train_fsce 0.47372 | val_dev 0.70654 | expl_dev 0.52225 | gat_gain +0.01517 | alpha 0.2000
epoch  615 | train_nll -1.33281 | train_fsce 0.47482 | val_dev 0.68341 | expl_dev 0.53789 | gat_gain +0.00480 | alpha 0.2000
epoch  620 | train_nll -1.32908 | train_fsce 0.46717 | val_dev 0.68711 | expl_dev 0.53539 | gat_gain +0.02240 | alpha 0.2000
epoch  625 | train_nll -1.32142 | train_fsce 0.48382 | val_dev 0.67531 | expl_dev 0.54337 | gat_gain +0.01982 | alpha 0.2000 *
epoch  630 | train_nll -1.32973 | train_fsce 0.49323 | val_dev 0.68282 | expl_dev 0.53829 | gat_gain +0.01012 | alpha 0.2000
epoch  635 | train_nll -1.33325 | train_fsce 0.48671 | val_dev 0.70402 | expl_dev 0.52395 | gat_gain +0.01426 | alpha 0.2000
epoch  640 | train_nll -1.32582 | train_fsce 0.47620 | val_dev 0.70438 | expl_dev 0.52371 | gat_gain +0.01027 | alpha 0.2000
epoch  645 | train_nll -1.32944 | train_fsce 0.46348 | val_dev 0.68649 | expl_dev 0.53581 | gat_gain +0.01183 | alpha 0.2000
epoch  650 | train_nll -1.33405 | train_fsce 0.49152 | val_dev 0.68149 | expl_dev 0.53919 | gat_gain +0.01785 | alpha 0.2000
epoch  655 | train_nll -1.32948 | train_fsce 0.48912 | val_dev 0.67918 | expl_dev 0.54075 | gat_gain +0.00401 | alpha 0.2000
epoch  660 | train_nll -1.32721 | train_fsce 0.47235 | val_dev 0.68321 | expl_dev 0.53803 | gat_gain +0.01591 | alpha 0.2000
epoch  665 | train_nll -1.33214 | train_fsce 0.47105 | val_dev 0.69777 | expl_dev 0.52818 | gat_gain +0.01379 | alpha 0.2000
epoch  670 | train_nll -1.32803 | train_fsce 0.49813 | val_dev 0.69874 | expl_dev 0.52753 | gat_gain +0.00551 | alpha 0.2000
epoch  675 | train_nll -1.33342 | train_fsce 0.48910 | val_dev 0.69641 | expl_dev 0.52910 | gat_gain +0.01085 | alpha 0.2000
epoch  680 | train_nll -1.33791 | train_fsce 0.49163 | val_dev 0.66843 | expl_dev 0.54802 | gat_gain +0.01425 | alpha 0.2000 *
