[dataset]
  dataset = fsq
  csv = data/tky_clean.csv
  cat_col = category
  categories = ['Dining and Drinking', 'Retail', 'Nightlife Spot', 'Community and Government', 'Travel and Transportation', 'Business and Professional Services', 'Landmarks and Outdoors', 'Arts and Entertainment', 'Health and Medicine', 'Sports and Recreation']
  half_width = 50.0
  cell = 15
  center_step = 100
  min_poi = 10
  crs = EPSG:6677

[hparams]
  LATENT_DIM = 2
  EPOCHS = 1000
  BATCH = 256
  LR = 0.001
  WEIGHT_DECAY = 1e-06
  VAL_FRAC = 0.1
  SEED = 0
  ALPHA_INIT = 0.5
  ALPHA_LEARN = False
  GAT_LR_MULT = 0.2
  GAT_DIM = 16
  GAT_HEADS = 4
  GAT_LAYERS = 2
  GAT_READOUT_DIM = 1
  N_NEIGHBORS = 15
  GRAPH_METRIC = euclidean
  EDGE_BATCH = 256
  LAMBDA_FSCE = 0.01
  WARMUP_EPOCHS = 200
  NOISE_P = 0.3
  NOISE_MODE = thinning
  NOISE_OD_P = 0.3

1233 個 patch，device=mps，噪聲 thinning p=0.3
OD：100.0% 的 patch 有觀測，總量中位數 44，最大 10449
FSCE graph：24900 條邊，a=1.5769 b=0.8951
參數量 38173（GAT 分支 11537，lr x0.2）
epoch  390 | train_nll -1.30771 | train_fsce 0.52054 | val_dev 0.72986 | expl_dev 0.50649 | gat_gain +0.03755 | alpha 0.5000
epoch  395 | train_nll -1.30761 | train_fsce 0.54024 | val_dev 0.72274 | expl_dev 0.51130 | gat_gain +0.03566 | alpha 0.5000
epoch  400 | train_nll -1.30421 | train_fsce 0.53270 | val_dev 0.72304 | expl_dev 0.51110 | gat_gain +0.05344 | alpha 0.5000
epoch  405 | train_nll -1.31310 | train_fsce 0.51937 | val_dev 0.75469 | expl_dev 0.48969 | gat_gain +0.04367 | alpha 0.5000
epoch  410 | train_nll -1.31149 | train_fsce 0.52747 | val_dev 0.74676 | expl_dev 0.49505 | gat_gain +0.05051 | alpha 0.5000
epoch  415 | train_nll -1.31318 | train_fsce 0.53860 | val_dev 0.71804 | expl_dev 0.51447 | gat_gain +0.03696 | alpha 0.5000
epoch  420 | train_nll -1.31231 | train_fsce 0.54639 | val_dev 0.73043 | expl_dev 0.50610 | gat_gain +0.04819 | alpha 0.5000
epoch  425 | train_nll -1.30981 | train_fsce 0.51926 | val_dev 0.72973 | expl_dev 0.50657 | gat_gain +0.03505 | alpha 0.5000
epoch  430 | train_nll -1.30776 | train_fsce 0.53187 | val_dev 0.75379 | expl_dev 0.49030 | gat_gain +0.03049 | alpha 0.5000
epoch  435 | train_nll -1.30882 | train_fsce 0.52105 | val_dev 0.73351 | expl_dev 0.50402 | gat_gain +0.04399 | alpha 0.5000
